1fa96,military_helmet
1fa95,banjo
1fa94,diya_lamp
1fa93,axe
1fa92,razor
1fa91,chair
1fa90,ringed_planet
1fa86,nesting_dolls
1fa85,piata
1fa84,magic_wand
1fa83,boomerang
1fa82,parachute
1fa81,kite
1fa80,yo-yo
1fa7a,stethoscope
1fa79,adhesive_bandage
1fa78,drop_of_blood
1fa74,thong_sandal
1fa73,shorts
1fa72,briefs
1fa71,one-piece_swimsuit
1fa70,ballet_shoes
1f9ff,nazar_amulet
1f9fe,receipt
1f9fd,sponge
1f9fc,soap
1f9fb,roll_of_paper
1f9fa,basket
1f9f9,broom
1f9f8,teddy_bear
1f9f7,safety_pin
1f9f6,yarn
1f9f5,thread
1f9f4,lotion_bottle
1f9f3,luggage
1f9f2,magnet
1f9f1,brick
1f9f0,toolbox
1f9ef,fire_extinguisher
1f9ee,abacus
1f9ed,compass
1f9ec,dna
1f9eb,petri_dish
1f9ea,test_tube
1f9e9,puzzle_piece
1f9e8,firecracker
1f9e7,red_envelope
1f9e6,socks
1f9e5,coat
1f9e4,gloves
1f9e3,scarf
1f9e2,billed_cap
1f9e1,orange_heart
1f9e0,brain
1f9df-200d-2642,man_zombie
1f9df-200d-2640,woman_zombie
1f9df,zombie
1f9de-200d-2642,man_genie
1f9de-200d-2640,woman_genie
1f9de,genie
1f9dd-200d-2642,man_elf
1f9dd-200d-2640,woman_elf
1f9dd-1f3ff-200d-2642,man_elf_dark_skin_tone
1f9dd-1f3ff-200d-2640,woman_elf_dark_skin_tone
1f9dd-1f3ff,elf_dark_skin_tone
1f9dd-1f3fe-200d-2642,man_elf_medium-dark_skin_tone
1f9dd-1f3fe-200d-2640,woman_elf_medium-dark_skin_tone
1f9dd-1f3fe,elf_medium-dark_skin_tone
1f9dd-1f3fd-200d-2642,man_elf_medium_skin_tone
1f9dd-1f3fd-200d-2640,woman_elf_medium_skin_tone
1f9dd-1f3fd,elf_medium_skin_tone
1f9dd-1f3fc-200d-2642,man_elf_medium-light_skin_tone
1f9dd-1f3fc-200d-2640,woman_elf_medium-light_skin_tone
1f9dd-1f3fc,elf_medium-light_skin_tone
1f9dd-1f3fb-200d-2642,man_elf_light_skin_tone
1f9dd-1f3fb-200d-2640,woman_elf_light_skin_tone
1f9dd-1f3fb,elf_light_skin_tone
1f9dd,elf
1f9dc-200d-2642,merman
1f9dc-200d-2640,mermaid
1f9dc-1f3ff-200d-2642,merman_dark_skin_tone
1f9dc-1f3ff-200d-2640,mermaid_dark_skin_tone
1f9dc-1f3ff,merperson_dark_skin_tone
1f9dc-1f3fe-200d-2642,merman_medium-dark_skin_tone
1f9dc-1f3fe-200d-2640,mermaid_medium-dark_skin_tone
1f9dc-1f3fe,merperson_medium-dark_skin_tone
1f9dc-1f3fd-200d-2642,merman_medium_skin_tone
1f9dc-1f3fd-200d-2640,mermaid_medium_skin_tone
1f9dc-1f3fd,merperson_medium_skin_tone
1f9dc-1f3fc-200d-2642,merman_medium-light_skin_tone
1f9dc-1f3fc-200d-2640,mermaid_medium-light_skin_tone
1f9dc-1f3fc,merperson_medium-light_skin_tone
1f9dc-1f3fb-200d-2642,merman_light_skin_tone
1f9dc-1f3fb-200d-2640,mermaid_light_skin_tone
1f9dc-1f3fb,merperson_light_skin_tone
1f9dc,merperson
1f9db-200d-2642,man_vampire
1f9db-200d-2640,woman_vampire
1f9db-1f3ff-200d-2642,man_vampire_dark_skin_tone
1f9db-1f3ff-200d-2640,woman_vampire_dark_skin_tone
1f9db-1f3ff,vampire_dark_skin_tone
1f9db-1f3fe-200d-2642,man_vampire_medium-dark_skin_tone
1f9db-1f3fe-200d-2640,woman_vampire_medium-dark_skin_tone
1f9db-1f3fe,vampire_medium-dark_skin_tone
1f9db-1f3fd-200d-2642,man_vampire_medium_skin_tone
1f9db-1f3fd-200d-2640,woman_vampire_medium_skin_tone
1f9db-1f3fd,vampire_medium_skin_tone
1f9db-1f3fc-200d-2642,man_vampire_medium-light_skin_tone
1f9db-1f3fc-200d-2640,woman_vampire_medium-light_skin_tone
1f9db-1f3fc,vampire_medium-light_skin_tone
1f9db-1f3fb-200d-2642,man_vampire_light_skin_tone
1f9db-1f3fb-200d-2640,woman_vampire_light_skin_tone
1f9db-1f3fb,vampire_light_skin_tone
1f9db,vampire
1f9da-200d-2642,man_fairy
1f9da-200d-2640,woman_fairy
1f9da-1f3ff-200d-2642,man_fairy_dark_skin_tone
1f9da-1f3ff-200d-2640,woman_fairy_dark_skin_tone
1f9da-1f3ff,fairy_dark_skin_tone
1f9da-1f3fe-200d-2642,man_fairy_medium-dark_skin_tone
1f9da-1f3fe-200d-2640,woman_fairy_medium-dark_skin_tone
1f9da-1f3fe,fairy_medium-dark_skin_tone
1f9da-1f3fd-200d-2642,man_fairy_medium_skin_tone
1f9da-1f3fd-200d-2640,woman_fairy_medium_skin_tone
1f9da-1f3fd,fairy_medium_skin_tone
1f9da-1f3fc-200d-2642,man_fairy_medium-light_skin_tone
1f9da-1f3fc-200d-2640,woman_fairy_medium-light_skin_tone
1f9da-1f3fc,fairy_medium-light_skin_tone
1f9da-1f3fb-200d-2642,man_fairy_light_skin_tone
1f9da-1f3fb-200d-2640,woman_fairy_light_skin_tone
1f9da-1f3fb,fairy_light_skin_tone
1f9da,fairy
1f9d9-200d-2642,man_mage
1f9d9-200d-2640,woman_mage
1f9d9-1f3ff-200d-2642,man_mage_dark_skin_tone
1f9d9-1f3ff-200d-2640,woman_mage_dark_skin_tone
1f9d9-1f3ff,mage_dark_skin_tone
1f9d9-1f3fe-200d-2642,man_mage_medium-dark_skin_tone
1f9d9-1f3fe-200d-2640,woman_mage_medium-dark_skin_tone
1f9d9-1f3fe,mage_medium-dark_skin_tone
1f9d9-1f3fd-200d-2642,man_mage_medium_skin_tone
1f9d9-1f3fd-200d-2640,woman_mage_medium_skin_tone
1f9d9-1f3fd,mage_medium_skin_tone
1f9d9-1f3fc-200d-2642,man_mage_medium-light_skin_tone
1f9d9-1f3fc-200d-2640,woman_mage_medium-light_skin_tone
1f9d9-1f3fc,mage_medium-light_skin_tone
1f9d9-1f3fb-200d-2642,man_mage_light_skin_tone
1f9d9-1f3fb-200d-2640,woman_mage_light_skin_tone
1f9d9-1f3fb,mage_light_skin_tone
1f9d9,mage
1f9d8-200d-2642,man_in_lotus_position
1f9d8-200d-2640,woman_in_lotus_position
1f9d8-1f3ff-200d-2642,man_in_lotus_position_dark_skin_tone
1f9d8-1f3ff-200d-2640,woman_in_lotus_position_dark_skin_tone
1f9d8-1f3ff,person_in_lotus_position_dark_skin_tone
1f9d8-1f3fe-200d-2642,man_in_lotus_position_medium-dark_skin_tone
1f9d8-1f3fe-200d-2640,woman_in_lotus_position_medium-dark_skin_tone
1f9d8-1f3fe,person_in_lotus_position_medium-dark_skin_tone
1f9d8-1f3fd-200d-2642,man_in_lotus_position_medium_skin_tone
1f9d8-1f3fd-200d-2640,woman_in_lotus_position_medium_skin_tone
1f9d8-1f3fd,person_in_lotus_position_medium_skin_tone
1f9d8-1f3fc-200d-2642,man_in_lotus_position_medium-light_skin_tone
1f9d8-1f3fc-200d-2640,woman_in_lotus_position_medium-light_skin_tone
1f9d8-1f3fc,person_in_lotus_position_medium-light_skin_tone
1f9d8-1f3fb-200d-2642,man_in_lotus_position_light_skin_tone
1f9d8-1f3fb-200d-2640,woman_in_lotus_position_light_skin_tone
1f9d8-1f3fb,person_in_lotus_position_light_skin_tone
1f9d8,person_in_lotus_position
1f9d7-200d-2642,man_climbing
1f9d7-200d-2640,woman_climbing
1f9d7-1f3ff-200d-2642,man_climbing_dark_skin_tone
1f9d7-1f3ff-200d-2640,woman_climbing_dark_skin_tone
1f9d7-1f3ff,person_climbing_dark_skin_tone
1f9d7-1f3fe-200d-2642,man_climbing_medium-dark_skin_tone
1f9d7-1f3fe-200d-2640,woman_climbing_medium-dark_skin_tone
1f9d7-1f3fe,person_climbing_medium-dark_skin_tone
1f9d7-1f3fd-200d-2642,man_climbing_medium_skin_tone
1f9d7-1f3fd-200d-2640,woman_climbing_medium_skin_tone
1f9d7-1f3fd,person_climbing_medium_skin_tone
1f9d7-1f3fc-200d-2642,man_climbing_medium-light_skin_tone
1f9d7-1f3fc-200d-2640,woman_climbing_medium-light_skin_tone
1f9d7-1f3fc,person_climbing_medium-light_skin_tone
1f9d7-1f3fb-200d-2642,man_climbing_light_skin_tone
1f9d7-1f3fb-200d-2640,woman_climbing_light_skin_tone
1f9d7-1f3fb,person_climbing_light_skin_tone
1f9d7,person_climbing
